"block","point","comp","b_closed","intercept","intercept_se","intercept_invL","intercept_invL_se","richardson","richardson_se","bhat800","bhat800_se","gate_intercept","gate_invL","gate_richardson","gate_b800"
"SCA","A_u2_n0.5",4,1.18470804618824,1.14293523393861,0.104729856351169,1.21818921915597,0.052036586981902,1.2300180188328,0.141067020206922,1.26356127122213,0.062108306225253,TRUE,TRUE,TRUE,TRUE
"SCA","A_u3_n1.0",1,-1.5690349486034,-1.64102414375467,0.0667021892656755,-1.64833722222428,0.0382804109723166,-1.77362231412988,0.086541536030191,-1.69387999406365,0.0386657876007709,TRUE,TRUE,TRUE,FALSE
"SCA","A_u3_n1.0",2,0.618867418355159,0.44843283548256,0.0992495622496881,0.574745501118292,0.0661295446150351,0.369539973912845,0.0939737904228154,0.551884979720759,0.0414451892694552,TRUE,TRUE,TRUE,TRUE
"SCA","A_u3_n1.0",3,0.630366855956349,0.516066655469617,0.0813688363843086,0.595864587681259,0.0363030803117309,0.705239336533575,0.102737233483936,0.663055750411274,0.0457981601773679,TRUE,TRUE,TRUE,TRUE
"SCA","A_u3_n1.0",4,12.0300182793808,12.27895481898,1.38386526955259,13.2533380690437,0.925702349838112,11.7497701118733,0.446752196900883,12.9218311165822,0.189176440396044,TRUE,TRUE,TRUE,FALSE
"SCA","A_u4_n1.0",1,-5.34833623643438,-4.77115807905532,0.132473171506092,-5.48058743459351,0.103168699949653,-5.45964595798078,0.230494301976234,-5.68373688941941,0.100653203111746,FALSE,TRUE,TRUE,FALSE
"SCA","A_u4_n1.0",2,-5.70906622069799,-5.17383624921709,0.0849600557682499,-5.7678971985362,0.0711609885844084,-5.72884486670943,0.135508382165085,-5.93465330212665,0.0592742961864013,FALSE,TRUE,TRUE,TRUE
"SCA","A_u4_n1.0",3,1.39456836097719,1.12391431103223,0.101500425613505,1.3414101381223,0.0498292127886947,1.43829717500164,0.189520707630237,1.43680507544273,0.0832132156896039,TRUE,TRUE,TRUE,TRUE
"SCA","A_u4_n1.0",4,-0.187540460347848,-0.198499446848963,0.163559541163,-0.268290951334771,0.0977081834070781,-0.29417119643655,0.159964640189763,-0.270766699835541,0.0703644083310184,TRUE,TRUE,TRUE,TRUE
"SCA","A_u5_n1.5",1,-14.5281760787263,-15.0036358950196,1.90818076704802,-15.91724012579,1.23942851091644,-14.5572043243047,0.44635735129713,-15.5295333091311,0.187774171343276,TRUE,TRUE,TRUE,FALSE
"SCA","A_u5_n1.5",2,-5.6250316839251,-6.20581020532861,1.18568584730615,-6.5171967870856,0.740090751490503,-5.87771182488328,0.269925807387543,-6.24759303019016,0.113894700863507,TRUE,TRUE,TRUE,FALSE
"SCA","A_u5_n1.5",3,-2.10073060715126,-2.52411918170142,1.08110021092241,-2.58718550180822,0.624440053982547,-1.72742151424875,0.229412876788073,-2.19375014399277,0.0984562929959617,TRUE,TRUE,TRUE,TRUE
"SCA","A_u5_n1.5",4,3.82864708561734,3.18373793255529,0.241933221334659,3.86049623161011,0.0887352071824319,3.77367709509432,0.339137930379028,4.08386134813226,0.145221531796002,TRUE,TRUE,TRUE,TRUE
"SCA","A_u6_n1.5",1,4.95866926872327,4.12845715218919,0.178462225280107,4.98194400637354,0.175925948945619,4.77054684495901,0.195526116961189,5.16490252207476,0.0850955329411412,FALSE,TRUE,TRUE,TRUE
"SCA","A_u6_n1.5",2,23.0359939391903,36.0922503760378,4.80948342830651,31.310664226068,2.47089730736035,23.0342062287037,1.1415006661255,27.1583130252453,0.484656775656487,TRUE,FALSE,TRUE,FALSE
"SCA","A_u6_n1.5",3,-10.9107866123707,-15.1730479152198,1.8734227169152,-13.9250515828871,1.00774207238751,-10.7736323838788,0.418846534616355,-12.4442145323938,0.178259254497147,TRUE,TRUE,TRUE,FALSE
"SCA","A_u6_n1.5",4,-10.0748010865476,-13.1608924783807,1.39119093479229,-12.3747637134032,0.773027825607163,-9.90773768649017,0.32215000389333,-11.2887156425251,0.137149807678954,TRUE,TRUE,TRUE,FALSE
"SCA","B_z0",1,-0.632392536114367,-0.519029751994049,0.13258603514959,-0.611985020584927,0.0817325265617336,-0.373180285288828,0.101549049277154,-0.572179062871387,0.0450559273098259,TRUE,TRUE,TRUE,TRUE
"SCA","B_z0",2,0.0371768010651802,0.0287208679483666,0.0327094948314886,0.0204904843700214,0.0197608606681993,0.0776626864681998,0.104667899335947,0.0401513071847394,0.0465185223320278,TRUE,TRUE,TRUE,TRUE
"SCA","B_z0",3,0.514300973275159,0.407881848918278,0.0638384302249068,0.496185946178403,0.0260106694663721,0.575899542871178,0.110935237205935,0.553299411625008,0.0491371991301275,TRUE,TRUE,TRUE,TRUE
"SCA","B_z0",4,-0.0853932491330829,-0.0837589669338799,0.114833379491438,-0.0890272942521893,0.0666305080380028,-0.160004879097322,0.104058323637828,-0.0939392386071019,0.0461273321629767,TRUE,TRUE,TRUE,TRUE
"SCA","B_u3_n1.0",1,-1.34918345406293,-1.25769639130909,0.0329553615077145,-1.34843318621498,0.00679437098878614,-1.3629411977463,0.0788712137120005,-1.38435481362941,0.0350004386918893,TRUE,TRUE,TRUE,TRUE
"SCA","B_u3_n1.0",2,0.758412757016217,0.670181609228182,0.0837732110339593,0.744933187083358,0.0410973742355237,0.871100676469995,0.0925942663919058,0.810685657713183,0.0413050757058721,TRUE,TRUE,TRUE,TRUE
"SCA","B_u3_n1.0",3,1.06788322855349,0.820566271747976,0.039394687172584,0.978563771368943,0.0305784454630924,0.884877387446459,0.104527292815879,1.00051136396887,0.0463449689379683,FALSE,TRUE,TRUE,TRUE
"SCA","B_u3_n1.0",4,13.6434606987859,15.8926357416952,2.02980463123043,16.047494447438,1.25425520726464,13.8262622577572,0.52381156200714,15.1814348703667,0.218589355617979,TRUE,TRUE,TRUE,FALSE
"SCA_brute","brute",NA,7.20820571147005,18.9697490156068,0.151060208906164,NA,NA,NA,NA,15.7484514733098,0.188667617046431,NA,NA,NA,NA
"SCB1","weak",NA,NA,0.0693882210151799,9.27784296302127e-05,NA,NA,NA,NA,747.891738324746,NA,TRUE,NA,NA,NA
"SCB1","strong",NA,NA,0.0756881443026456,0.000381404821565985,NA,NA,NA,NA,198.445693454746,NA,TRUE,NA,NA,NA
"SCB2","L200_d1_h0.001",NA,-1.91631492257617e-05,-1.95996977547168e-05,2.33248829168545e-06,NA,NA,NA,NA,1.02278062565876,NA,TRUE,NA,NA,NA
"SCB2","L200_d1_h0.0001",NA,-1.91631492257617e-05,-1.95999781051867e-05,2.33251001480873e-06,NA,NA,NA,NA,1.02279525532462,NA,TRUE,NA,NA,NA
"SCB2","L200_d2_h0.001",NA,-5.38855711814018e-06,-7.39507367428052e-06,3.09380129579268e-06,NA,NA,NA,NA,1.37236620344722,NA,TRUE,NA,NA,NA
"SCB2","L200_d2_h0.0001",NA,-5.38855711814018e-06,-7.39544883127945e-06,3.09383055147007e-06,NA,NA,NA,NA,1.37243582449617,NA,TRUE,NA,NA,NA
"SCB2","L200_d3_h0.001",NA,-1.03854596200979e-05,-9.02891976759089e-06,2.51782843283933e-06,NA,NA,NA,NA,0.86938085533722,NA,TRUE,NA,NA,NA
"SCB2","L200_d3_h0.0001",NA,-1.03854596200979e-05,-8.99569818682917e-06,2.51793906358286e-06,NA,NA,NA,NA,0.866182000209284,NA,TRUE,NA,NA,NA
"SCB2","L200_d4_h0.001",NA,1.20894658113198e-05,-2.06674814718952e-06,3.24798847835067e-06,NA,NA,NA,NA,-0.170954463947807,NA,FALSE,NA,NA,NA
"SCB2","L200_d4_h0.0001",NA,1.20894658113198e-05,-2.06409024947179e-06,3.24801660830028e-06,NA,NA,NA,NA,-0.170734611577221,NA,FALSE,NA,NA,NA
"SCB2","L200_d5_h0.001",NA,-3.93071937130751e-08,3.50753644630003e-08,1.18911191081734e-07,NA,NA,NA,NA,-0.892339573235237,NA,TRUE,NA,NA,NA
"SCB2","L200_d5_h0.0001",NA,-3.93071937130751e-08,3.5070771104837e-08,1.18912464153007e-07,NA,NA,NA,NA,-0.892222715283057,NA,TRUE,NA,NA,NA
"SCB2","L200_d6_h0.001",NA,7.01308002763282e-08,-3.38530390484229e-08,1.05453912366773e-07,NA,NA,NA,NA,-0.482712858188354,NA,TRUE,NA,NA,NA
"SCB2","L200_d6_h0.0001",NA,7.01308002763282e-08,-3.38496418481905e-08,1.05454806511194e-07,NA,NA,NA,NA,-0.482664417271965,NA,TRUE,NA,NA,NA
"SCB2","L400_d1_h0.001",NA,-9.50322952536828e-06,-1.10491436912965e-05,1.36211861515375e-06,NA,NA,NA,NA,1.16267250641495,NA,TRUE,NA,NA,NA
"SCB2","L400_d1_h0.0001",NA,-9.50322952536828e-06,-1.10493589344985e-05,1.36213081847234e-06,NA,NA,NA,NA,1.16269515589442,NA,TRUE,NA,NA,NA
"SCB2","L400_d2_h0.001",NA,-2.37311901213933e-06,-4.82549484520234e-06,1.98414440434035e-06,NA,NA,NA,NA,2.03339774386293,NA,TRUE,NA,NA,NA
"SCB2","L400_d2_h0.0001",NA,-2.37311901213933e-06,-4.8258289670557e-06,1.98416386597133e-06,NA,NA,NA,NA,2.033538538257,NA,TRUE,NA,NA,NA
"SCB2","L400_d3_h0.001",NA,-5.1923893825953e-06,-4.52556326756522e-06,1.46949832600817e-06,NA,NA,NA,NA,0.871576250181612,NA,TRUE,NA,NA,NA
"SCB2","L400_d3_h0.0001",NA,-5.1923893825953e-06,-4.5252569615457e-06,1.46951216977883e-06,NA,NA,NA,NA,0.871517258839292,NA,TRUE,NA,NA,NA
"SCB2","L400_d4_h0.001",NA,5.8420741204386e-06,4.1418375640429e-06,2.08899634012176e-06,NA,NA,NA,NA,0.708966965953514,NA,TRUE,NA,NA,NA
"SCB2","L400_d4_h0.0001",NA,5.8420741204386e-06,4.14434417024787e-06,2.08901507514255e-06,NA,NA,NA,NA,0.709396026960495,NA,TRUE,NA,NA,NA
"SCB2","L400_d5_h0.001",NA,-1.92461807320788e-08,-4.69628575196925e-08,6.12318725369502e-08,NA,NA,NA,NA,2.44011308910845,NA,TRUE,NA,NA,NA
"SCB2","L400_d5_h0.0001",NA,-1.92461807320788e-08,-4.69681866224368e-08,6.12325663589326e-08,NA,NA,NA,NA,2.44038998055089,NA,TRUE,NA,NA,NA
"SCB2","L400_d6_h0.001",NA,3.61991977441593e-08,-8.5828922580386e-09,5.60624962604612e-08,NA,NA,NA,NA,-0.237101725808922,NA,TRUE,NA,NA,NA
"SCB2","L400_d6_h0.0001",NA,3.61991977441593e-08,-8.58043692906035e-09,5.60631257384255e-08,NA,NA,NA,NA,-0.237033897538373,NA,TRUE,NA,NA,NA
"SCC","rep1",NA,NA,-0.0128277978258316,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"SCC","rep2",NA,NA,0.0230100058198333,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"SCC","rep3",NA,NA,-0.00486240471767104,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA
"SCC","rep4",NA,NA,0.0338117847848534,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"SCC","rep5",NA,NA,0.00787355192844345,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
